Name,Latitude,Longitude,Category
Rib No. 7,40.748329,-73.986845,BBQ Joint
Yoon Haeundae Galbi,40.749849,-73.984502,BBQ Joint
Tonchin New York,40.750335,-73.984477,Bar
BCD Tofu House,40.747437,-73.98582,Korean Restaurant
The Parlour Room,40.750667,-73.986194,Cocktail Bar
Bangia,40.746936,-73.984475,Korean Restaurant
Don's Bogam BBQ & Wine Bar,40.746886,-73.984342,Wine Bar
Taco Bell,40.75087,-73.986639,Fast Food Restaurant
Chili,40.75008,-73.981934,Cocktail Bar
Café China,40.751653,-73.985621,Szechuan Restaurant
Le Bernardin,40.76163,-73.981861,French Restaurant
Mastro`S Restaurants,40.761179,-73.980577,Steakhouse
La Grande Boucherie,40.762681,-73.980898,French Restaurant
Avra Rockefeller Center,40.760882,-73.98157,Greek Restaurant
Toasties,40.759977,-73.983107,American Restaurant
ICHIRAN - Times Square,40.76008,-73.983286,Ramen Restaurant
Gallagher's Steak House,40.762761,-73.983915,American Restaurant
Junior's Restaurant & Bakery - 49th St,40.760926,-73.983931,Dessert Shop
Quality Bistro,40.762999,-73.979119,American Restaurant
Dos Toros Taqueria,40.760685,-73.97852,Burrito Restaurant
Indian Accent,40.764307,-73.978646,North Indian Restaurant
Burger Joint,40.764204,-73.978467,Burger Joint
Kin Ramen,40.764515,-73.978916,Ramen Restaurant
Souvlaki GR,40.764585,-73.980317,Fast Food Restaurant
Quality Italian,40.764411,-73.976771,Italian Restaurant
Quality Bistro,40.762999,-73.979119,American Restaurant
Jams,40.764742,-73.976522,Fast Food Restaurant
Pret A Manger,40.765602,-73.976643,Fast Food Restaurant
Nobu Fifty Seven,40.763726,-73.976176,Sushi Restaurant
NYAC Tap Room,40.766621,-73.978867,Brazilian Restaurant
