Name,Latitude,Longitude,Free Bikes,Empty Slots,Total Bikes,Station Name,POI Name,Rating,Review Count,Address,Distance (m)
67 St & Erik Pl,40.633385,-74.016562,19.0,2.0,21.0,,,,,,
7 Ave & 62 St,40.63556,-74.01298,18.0,5.0,23.0,,,,,,
5 Ave & 67 St,40.635679,-74.020005,11.0,4.0,15.0,,,,,,
4 Ave & Shore Road Dr,40.637033,-74.022141,15.0,4.0,19.0,,,,,,
63 St & 5 Ave,40.63766,-74.01782,18.0,3.0,21.0,,,,,,
6 Ave & 60 St,40.638196,-74.013821,7.0,8.0,15.0,,,,,,
3 Ave & Wakeman Pl,40.638246,-74.024714,21.0,1.0,22.0,,,,,,
57 St & 7 Ave,40.638566,-74.010147,10.0,4.0,14.0,,,,,,
Wakeman Pl & Ridge Blvd,40.639421,-74.026823,16.0,3.0,19.0,,,,,,
Cortelyou Rd & Stratford Rd,40.63966,-73.96807,10.0,8.0,18.0,,,,,,
55 St & 7 Ave,40.639673,-74.008957,3.0,15.0,18.0,,,,,,
62 St & 4 Ave,40.639859,-74.019776,10.0,5.0,15.0,,,,,,
64 St & 3 Ave,40.639978,-74.02324,16.0,18.0,34.0,,,,,,
59 St & 5 Ave,40.640125,-74.015726,9.0,15.0,24.0,,,,,,
Cortelyou Rd & Argyle Rd,40.64034,-73.96603,16.0,3.0,19.0,,,,,,
65 St & 2 Ave,40.640493,-74.02564,21.0,0.0,21.0,,,,,,
6 Ave & 55 St,40.640831,-74.010996,6.0,10.0,16.0,,,,,,
59 St & 4 Ave,40.641269,-74.017651,20.0,9.0,29.0,,,,,,
E 16 St & Cortelyou Rd,40.64173,-73.96364,18.0,2.0,20.0,,,,,,
Church Ave & Story St,40.642031,-73.981073,6.0,16.0,22.0,,,,,,
Matthews Ct & Coney Island Ave,40.64235,-73.96951,18.0,2.0,20.0,,,,,,
55 St & 5 Ave,40.642408,-74.013318,6.0,22.0,28.0,,,,,,
Keegan Rd & 2 Ave,40.64243139706092,-74.0255355834961,35.0,0.0,35.0,,,,,,
50 St & 7 Ave,40.642501,-74.006055,4.0,17.0,21.0,,,,,,
57 St & 4 Ave,40.642622,-74.016866,18.0,2.0,20.0,,,,,,
Cortelyou Rd & E 19 St,40.64269,-73.96099,17.0,3.0,20.0,,,,,,
52 St & 6 Ave,40.642703,-74.009441,2.0,17.0,19.0,,,,,,
Church Ave & McDonald Ave,40.642809,-73.979239,21.0,4.0,25.0,,,,,,
53 St & 5 Ave,40.643371,-74.011884,3.0,27.0,30.0,,,,,,
12 Ave & 36 St,40.643546,-73.986418,15.0,6.0,21.0,,,,,,
Stratford Rd & Beverley Rd,40.64378,-73.96867,15.0,1.0,16.0,,,,,,
E 3 St & Church Ave,40.643817,-73.977433,9.0,11.0,20.0,,,,,,
Rugby Rd & Beverley Rd,40.64435,-73.96591,21.0,2.0,23.0,,,,,,
Chester Ave & 12 Ave,40.644367,-73.984276,19.0,2.0,21.0,,,,,,
Cortelyou Rd & E 34 St,40.64454,-73.94486,15.0,3.0,18.0,,,,,,
E 17 St & Beverley Rd,40.64466,-73.96322,17.0,1.0,18.0,,,,,,
Ocean Pkwy & Church Ave,40.644718957635746,-73.97451460361481,7.0,9.0,16.0,,,,,,
46 St & 7 Ave,40.644743,-74.003754,5.0,12.0,17.0,,,,,,
E 19 St & Beverley Rd,40.64483,-73.9613,16.0,1.0,17.0,,,,,,
Cortelyou Rd & Albany Ave,40.64483,-73.93853,14.0,4.0,18.0,,,,,,
53 St & 4 Ave,40.644862,-74.014531,4.0,14.0,18.0,,,,,,
Bedford Ave & Beverley Rd,40.64491,-73.95487,22.0,1.0,23.0,,,,,,
Beverley Rd & Flatbush Ave,40.64499,-73.95818,25.0,4.0,29.0,,,,,,
Beverley Rd & Nostrand Ave,40.64507,-73.9488,22.0,1.0,23.0,,,,,,
Albemarle Rd & McDonald Ave,40.645074,-73.979681,7.0,12.0,19.0,,,,,,
Turner Pl & Coney Island Ave,40.64521,-73.97073,17.0,2.0,19.0,,,,,,
Schenectady Ave & Cortelyou Rd,40.64535,-73.93268,14.0,1.0,15.0,,,,,,
56 St & 2 Ave,40.645705,-74.020292,34.0,0.0,34.0,,,,,,
Brooklyn Ave & Beverley Rd,40.64575,-73.94331,5.0,12.0,17.0,,,,,,
46 St & 6 Ave,40.645921,-74.005708,1.0,19.0,20.0,,,,,,
Dahill Rd & 12 Ave,40.646037,-73.980963,12.0,9.0,21.0,,,,,,
Beverley Rd & E 49 St,40.64621,-73.93067,15.0,2.0,17.0,,,,,,
48 St & 5 Ave,40.646351,-74.009271,1.0,23.0,24.0,,,,,,
