Name,Latitude,Longitude,Free Bikes,Empty Slots,Total Bikes
Chester Ave & 12 Ave,40.644367,-73.984276,19,2,21
W 56 St & 8 Ave,40.765959181657976,-73.98313522338867,0,45,45
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,6,18,24
E 78 St & 2 Ave,40.7727966,-73.95577801,5,16,21
87 St & Roosevelt Ave,40.74825,-73.87936,1,22,23
E 157 St & River Ave,40.825737,-73.927311,11,0,11
E 17 St & Broadway,40.737006,-73.990134,48,24,72
Central Ave & Flushing Ave,40.702831,-73.9333,16,4,20
E 149 St & Eagle Ave,40.814046,-73.91186,5,14,19
E 165 St & Jerome Ave,40.83263,-73.925101,10,6,16
72 St & 31 Ave,40.7584,-73.89531,9,10,19
Irwin Ave & W 232 St,40.88227,-73.90809,11,8,19
Nassau Ave & Russell St,40.72557,-73.94434,22,29,51
1 St & 6 Ave,40.672784,-73.979826,8,25,33
Bulova Ave & Brooklyn Queens Expressway W,40.762507,-73.902534,7,10,17
45 St & 4 Ave,40.649145,-74.009486,18,0,18
Watts St & Greenwich St,40.72405549,-74.00965965,8,25,33
Broadway & E 14 St,40.73454567,-73.99074142,8,100,108
Harrison Pl & Porter Ave,40.70686,-73.92851,18,1,19
W 87 St & West End Ave,40.789622,-73.97757,0,37,37
3 Ave & E 109 St,40.79338,-73.94329,23,0,23
Myrtle Ave & St Edwards St,40.69327018,-73.97703874,39,11,50
E 9 St & Ave C,40.72521311,-73.97768752,21,23,44
Marcy Ave & Gates Ave,40.686679,-73.947417,6,15,21
Beverley Rd & Flatbush Ave,40.64499,-73.95818,25,4,29
Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,19,2,21
E 149 St & Park Ave,40.818154,-73.925294,17,2,19
Sheridan Ave & E 168 St,40.835334,-73.9154,3,14,17
Dyckman St & Henshaw St,40.867357,-73.92936,6,10,16
Hudson St & Reade St,40.71625008,-74.0091059,18,35,53
E 106 St & 1 Ave,40.7892529,-73.93956237,16,10,26
E 1 St & Bowery,40.72486122254819,-73.99213135242462,15,21,36
DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,10,8,18
Melrose Ave & E 150 St,40.816827,-73.917338,4,18,22
Botanical Sq & Webster Ave,40.86814,-73.88145,23,4,27
E 23 St & 1 Ave,40.736502,-73.97809472,8,18,26
Buchanan Pl & Grand Ave,40.85834,-73.90626,5,12,17
Flatbush Ave & Ocean Ave,40.663657,-73.963014,19,10,29
Halsey St & Evergreen Ave,40.68858,-73.91227,6,14,20
Southern Blvd & E 174 St,40.836733,-73.887931,6,15,21
Park Pl & Church St,40.71334184275907,-74.00935515761375,16,36,52
Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,42,11,53
E 188 St & Creston Ave,40.861669,-73.898589,5,25,30
63 St & 59 Dr,40.71832,-73.90128,17,0,17
Decatur Ave & E 197 St,40.86557,-73.88807,17,0,17
E 94 St & Madison Ave,40.785851052913884,-73.95482444378061,29,9,38
55 Ave & 90 St,40.73676,-73.87318,17,3,20
Vernon Blvd & 41 Rd,40.7552433,-73.9485678,18,8,26
South St & Whitehall St,40.70122128,-74.01234218,47,0,47
21 St & Queens Plaza North,40.75325964,-73.94335788,6,29,35
Bronx Park S & Bryant Ave,40.84437,-73.87796,13,3,16
E 34 St & Linden Blvd,40.65302,-73.94599,7,15,22
Liberty St & Broadway,40.70905623,-74.01043382,60,0,60
Frost St & Debevoise Ave,40.71882,-73.93948,7,15,22
3 Ave & Schermerhorn St,40.68683208,-73.9796772,20,4,24
Franklin Ave & St Marks Ave,40.6758324,-73.9561677,1,21,22
W 170 St & University Ave,40.84207,-73.926075,5,15,20
Menahan St & Wyckoff Ave,40.70113,-73.91422,2,16,18
E 114 St & 1 Ave,40.7945663,-73.9362541,16,6,22
Ave D & E 3 St,40.72082834,-73.97793172,28,24,52
Edgecombe Ave & W 167 St,40.838191,-73.936085,5,12,17
W 100 St & Broadway,40.7973721,-73.97041192,2,26,28
Caton Ave & E 10 St,40.648481,-73.97058,24,3,27
Morningside Ave & W 123 St,40.81,-73.9551508,27,1,28
Gerard Ave & E 164 St,40.830262,-73.923391,3,13,16
Eastern Pkwy & Brooklyn Ave,40.66939,-73.94514,8,5,13
Riverview Park,40.7443187,-74.0439909,9,8,17
W 42 St & 6 Ave,40.75492,-73.98455,47,0,47
Riverside Dr & W 138 St,40.823168,-73.955857,5,18,23
39 St & Queens Blvd,40.74431,-73.92601,4,15,19
95 St & 35 Ave,40.75301,-73.87266,5,17,22
W 78 St & Broadway,40.78339981,-73.98093133,1,33,34
Coffey St & Conover St,40.677236,-74.015665,9,18,27
Warren St & Smith St,40.685424009970184,-73.99127773940563,25,4,29
E 91 St & Park Ave,40.7835016,-73.955327,21,10,31
59 St & 4 Ave,40.641269,-74.017651,20,9,29
