Name,Latitude,Longitude,Free Bikes,Empty Slots,Total Bikes
Chester Ave & 12 Ave,40.644367,-73.984276,8,12,20
W 56 St & 8 Ave,40.765959181657976,-73.98313522338867,1,38,39
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,7,18,25
E 78 St & 2 Ave,40.7727966,-73.95577801,14,8,22
87 St & Roosevelt Ave,40.74825,-73.87936,3,20,23
E 157 St & River Ave,40.825737,-73.927311,11,6,17
E 17 St & Broadway,40.737006,-73.990134,11,66,77
Central Ave & Flushing Ave,40.702831,-73.9333,14,4,18
E 149 St & Eagle Ave,40.814046,-73.91186,3,16,19
E 165 St & Jerome Ave,40.83263,-73.925101,14,4,18
72 St & 31 Ave,40.7584,-73.89531,11,7,18
Irwin Ave & W 232 St,40.88227,-73.90809,12,4,16
Nassau Ave & Russell St,40.72557,-73.94434,38,12,50
1 St & 6 Ave,40.672784,-73.979826,27,7,34
Bulova Ave & Brooklyn Queens Expressway W,40.762507,-73.902534,9,8,17
45 St & 4 Ave,40.649145,-74.009486,11,9,20
Watts St & Greenwich St,40.72405549,-74.00965965,20,14,34
Broadway & E 14 St,40.73454567,-73.99074142,6,97,103
Harrison Pl & Porter Ave,40.70686,-73.92851,20,0,20
W 87 St & West End Ave,40.789622,-73.97757,12,33,45
3 Ave & E 109 St,40.79338,-73.94329,23,0,23
Myrtle Ave & St Edwards St,40.69327018,-73.97703874,49,5,54
E 9 St & Ave C,40.72521311,-73.97768752,46,1,47
Marcy Ave & Gates Ave,40.686679,-73.947417,17,0,17
Beverley Rd & Flatbush Ave,40.64499,-73.95818,24,0,24
Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,9,15,24
E 149 St & Park Ave,40.818154,-73.925294,7,17,24
Sheridan Ave & E 168 St,40.835334,-73.9154,0,18,18
Dyckman St & Henshaw St,40.867357,-73.92936,18,0,18
Hudson St & Reade St,40.71625008,-74.0091059,17,38,55
E 106 St & 1 Ave,40.7892529,-73.93956237,18,4,22
E 1 St & Bowery,40.72486122254819,-73.99213135242462,27,13,40
DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,14,1,15
Melrose Ave & E 150 St,40.816827,-73.917338,11,13,24
Botanical Sq & Webster Ave,40.86814,-73.88145,29,0,29
E 23 St & 1 Ave,40.736502,-73.97809472,19,4,23
Buchanan Pl & Grand Ave,40.85834,-73.90626,8,11,19
Flatbush Ave & Ocean Ave,40.663657,-73.963014,7,24,31
Halsey St & Evergreen Ave,40.68858,-73.91227,8,12,20
Southern Blvd & E 174 St,40.836733,-73.887931,13,13,26
Park Pl & Church St,40.71334184275907,-74.00935515761375,17,36,53
Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,47,0,47
E 188 St & Creston Ave,40.861669,-73.898589,8,23,31
63 St & 59 Dr,40.71832,-73.90128,22,1,23
Decatur Ave & E 197 St,40.86557,-73.88807,18,0,18
E 94 St & Madison Ave,40.785851052913884,-73.95482444378061,25,16,41
55 Ave & 90 St,40.73676,-73.87318,8,9,17
Vernon Blvd & 41 Rd,40.7552433,-73.9485678,12,15,27
South St & Whitehall St,40.70122128,-74.01234218,45,3,48
21 St & Queens Plaza North,40.75325964,-73.94335788,10,22,32
Bronx Park S & Bryant Ave,40.84437,-73.87796,16,2,18
E 34 St & Linden Blvd,40.65302,-73.94599,5,17,22
Liberty St & Broadway,40.70905623,-74.01043382,6,57,63
Frost St & Debevoise Ave,40.71882,-73.93948,10,11,21
3 Ave & Schermerhorn St,40.68683208,-73.9796772,16,12,28
Franklin Ave & St Marks Ave,40.6758324,-73.9561677,13,5,18
W 170 St & University Ave,40.84207,-73.926075,1,19,20
Menahan St & Wyckoff Ave,40.70113,-73.91422,11,9,20
E 114 St & 1 Ave,40.7945663,-73.9362541,14,9,23
Ave D & E 3 St,40.72082834,-73.97793172,27,21,48
Edgecombe Ave & W 167 St,40.838191,-73.936085,0,18,18
W 100 St & Broadway,40.7973721,-73.97041192,4,30,34
Caton Ave & E 10 St,40.648481,-73.97058,24,4,28
Morningside Ave & W 123 St,40.81,-73.9551508,19,10,29
Gerard Ave & E 164 St,40.830262,-73.923391,4,11,15
Eastern Pkwy & Brooklyn Ave,40.66939,-73.94514,8,12,20
Riverview Park,40.7443187,-74.0439909,10,6,16
