Station Name,POI Name,Rating,Review Count,Latitude,Longitude,Address,Distance (m)
Station 1,Tonchin,4.4,2345,40.7502727,-73.9844951,13 W 36th St,179.93435656777316
Station 1,Izakaya MEW,4.3,3166,40.750148,-73.9863203465939,53 W 35th St,165.99556933563653
Station 1,Anytime Kitchen ,4.6,3169,40.74776270790539,-73.9867793576711,23 W 32nd St,163.40839187562304
Station 1,The Ragtrader & Bo Peep Cocktail and Highball Store,4.3,993,40.7507108837366,-73.98621872023773,70 W 36th St 1A,220.87289327779777
Station 1,Barn Joo 35,4.2,2524,40.74964,-73.98582,34 W 35th St,99.81283010566776
Station 1,Turntable Chicken Jazz,3.8,2276,40.74828,-73.98649,20 W 33rd St,111.27755991826807
Station 1,Trademark Bar + Kitchen,4.4,768,40.75033398735654,-73.98539903247175,38 W 36th St,168.69875966197986
Station 1,Nan Xiang Soup Dumplings - Koreatown,4.6,1363,40.7482487159912,-73.98648243619347,24 W 33rd St,109.00849164972536
Station 1,BCD Tofu House,3.9,2628,40.747697348826584,-73.98606853079899,5 W 32nd St,135.68921682868373
Station 1,Cho Dang Gol Korean Restaurant,4.1,1842,40.7502365112305,-73.986198425293,55 W 35th St,173.2867759270088
Station 1,Woorijip,4.0,3005,40.74747,-73.98648,12 W 32nd St,184.02518862084585
Station 1,CHILI,4.6,895,40.75002,-73.98215,13 E 37th St,306.1295099039143
Station 1,Her Name Is Han,4.3,2144,40.74625007940397,-73.98476227403484,17 E 31st St,290.8854705286428
Station 1,Rib No 7,4.3,329,40.74834,-73.98681,32 W 33rd St,119.82168473241309
Station 1,Ayza Wine & Chocolate Bar,4.1,2196,40.7471774721074,-73.987011312828,11 W 31st St,225.88830395108667
Station 1,Nubiani,4.5,396,40.74700575561414,-73.9854169149663,315 5th Ave,201.4031280393592
Station 1,Yoon Haeundae Galbi,4.3,819,40.74996750318778,-73.98443095513923,8 W 36th St,153.03676568965994
Station 1,Osamil,4.3,852,40.74697,-73.9864,5 West 31st St,220.8983462208781
Station 1,Jongro BBQ,4.2,2755,40.74758224904735,-73.98690136896792,22 W 32nd St,185.08237100182487
Station 1,MUI,4.1,420,40.74732,-73.98646,10 W 32nd St,185.20739905502637
Station 2,La Grande Boucherie,4.4,3936,40.7626274,-73.98084109999999,145 W 53rd St,132.0390183811393
Station 2,Le Bernardin,4.4,3141,40.761557,-73.981763,155 W 51st St,12.959392928802838
Station 2,Haswell Green's,4.5,654,40.76301,-73.98416,240 W 52nd St,267.06703320948384
Station 2,Tanner Smiths,4.3,2275,40.76442,-73.98169,204 W 55th St,300.5587645166171
Station 2,Bartley Dunnes,4.5,102,40.763288,-73.981131,160 W 54th St,194.22046260664246
Station 2,Mastro's Steakhouse,4.2,1024,40.761091681735635,-73.9801313166685,1285 6th Ave,137.19672350660926
Station 2,ICHIRAN - Times Square,4.4,1150,40.7600737531204,-73.9833259411037,152 W 49th St,222.1338797946208
Station 2,Quality Bistro,4.2,527,40.763182,-73.979149,120 W 55th St,251.23915248252564
Station 2,Gallaghers Steakhouse,4.2,2069,40.762876,-73.983837,228 W 52nd St,234.91449931397202
Station 2,Ocean Prime,4.4,905,40.761748900087504,-73.98061944170696,123 W 52nd St,85.80238182798435
Station 2,Junior's Restaurant & Bakery,3.9,1279,40.760964,-73.983914,"1626 Broadway,49th St",212.21663057805972
